query,answer
,"Федеральный закон No 44-ФЗ от 5 апреля 2013 года «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд» Глава 1. ОБЩЕ ПОЛОЖЕНИЯ Глава 2. ОБЩИЕ ПОЛОЖения Глава 1. Глава 1. Общие и экономические отношения контрактной системы Глава 1. Объем контрактной системы, Глава 2. Глава 2. Общие требования контрактной системы в сфере покупок товаров и работ, услуг «для обеспечения госнужд», Глава 2. Объем контракта Глава 1."
Статья 1. Сфера применения настоящего Федерального закона,"Федеральный закон о закупках товаров, работ, услуг для обеспечения государственных и муниципальных нужд в целях повышения эффективности, результативности осуществления закупок, предотвращения коррупции и других злоупотреблений в сфере таких закупок. Настоящий закон не применяется к отношениям, связанным с закупками драгоценных металлов и камней."
"Статья 2. Законодательство Российской Федерации и иные нормативные правовые акты о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд","Законодательство Российской Федерации о контрактной системе в сфере закупок должно соответствовать настоящему Федеральному закону и другим федеральным законам, регулирующим отношения, указанные в части 1 статьи 1 настоящего Федерального закона. В случае, если международным договором установлены иные правила, применяются правила международного договора."
"Статья 3. Основные понятия, используемые в настоящем Федеральном законе","Федеральный закон о контрактной системе в сфере закупок - совокупность действий, направленных на обеспечение государственных и муниципальных нужд (федеральных нужд, нужд субъекта Российской Федерации), осуществляемых заказчиками в порядке, установленном настоящим Федеральным законом."
Статья 4. Информационное обеспечение контрактной системы в сфере закупок,"Единая информационная система в сфере закупок утратила силу с 1 октября 2019 года. Единая информационной система обеспечивает формирование, обработку, хранение и предоставление данных участникам контрактной системы в рамках отношений, указанных в части 1 статьи 1 настоящего Федерального закона. Документ содержит планы-графики, извещения об осуществлении закупок, протоколы определения поставщиков (подрядчиков, исполнителей) и информацию о запретах и ограничениях допуска товаров, происходящих из иностранного государства или группы иностранных государств."
Статья 5. Организация документооборота в контрактной системе в сфере закупок,"В рамках настоящего Федерального закона, предусмотренного законодательством Российской Федерации и иными нормативными правовыми актами о контрактной системе в сфере закупок, допускается обмен электронными документами между участниками контрактной системы, в том числе подача заявок на участие в определении поставщиков (подрядчиков, исполнителей)."
Статья 6. Принципы контрактной системы в сфере закупок,"Контрактная система в сфере закупок основывается на принципах открытости, прозрачности информации, обеспечения конкуренции, профессионализма заказчиков, ответственности за результативность обеспечения государственных и муниципальных нужд, эффективности осуществления закупок."
Статья 7. Принципы открытости и прозрачности,"В Российской Федерации обеспечивается свободный и безвозмездный доступ к информации о контрактной системе в сфере закупок. Информация, размещенная в единой информационной системе, должна быть полной и достоверной."
Статья 8. Принцип обеспечения конкуренции,"Контрактная система в сфере закупок направлена на создание равных условий для обеспечения конкуренции между участниками закупок. Запрещается совершение любых действий, которые противоречат требованиям настоящего Федерального закона, в том числе к необоснованному ограничению числа участников закупок."
Статья 9. Принцип профессионализма заказчика,"Контрактная система в сфере закупок предусматривает осуществление деятельности заказчика, специализированной организации и контрольного органа в сфере покупок на профессиональной основе с привлечением квалифицированных специалистов, обладающих теоретическими знаниями и навыками. Заказчики и специализированные организации принимают меры по поддержанию и повышению уровня квалификации и профессионального образования должностных лиц."
Статья 10. Принцип стимулирования инноваций,Заказчики при планировании и осуществлении закупок должны исходить из приоритета обеспечения государственных и муниципальных нужд путем закупок инновационной и высокотехнологичной продукции. При планировании закупок необходимо исходить из обеспечения госнужд путем приобретения инновационной продукции.
Статья 11. Принцип единства контрактной системы в сфере закупок,"Контрактная система в сфере закупок основывается на единых принципах и подходах, предусмотренных настоящим Федеральным законом и позволяющих обеспечивать государственные и муниципальные нужды посредством планирования и осуществления закупок, их мониторинга, аудита, а также контроля."
"Статья 12. Принцип ответственности за результативность обеспечения государственных и муниципальных нужд, эффективность осуществления закупок","Государственные органы, органы управления государственными внебюджетными фондами, муниципальные органы, казенные учреждения, иные юридические лица несут персональную ответственность за соблюдение требований контрактной системы в сфере закупок и нормативными правовыми актами, указанными в частях 2 и 3 статьи 2 настоящего Федерального закона."
Статья 14. Применение национального режима при осуществлении закупок,"Федеральный орган исполнительной власти по регулированию контрактной системы в сфере закупок размещает перечень иностранных государств, с которыми Российская Федерация заключила международные договоры, и условия применения национального режима на равных условиях с товарами российского происхождения, работами, услугами, соответственно выполняемыми, оказываемыми иностранными лицами."
"Статья 15. Особенности закупок, осуществляемых бюджетным, автономным учреждениями, государственным, муниципальным унитарными предприятиями и иными юридическими лицами","Государственные, муниципальные унитарные предприятия осуществляют закупки за счет субсидий, предоставленных из бюджетов бюджетной системы Российской Федерации и иных средств в соответствии с требованиями настоящего Федерального закона, за исключением закупок федеральных государственных унитарных предприятий."
Статья 16. Планирование закупок,"Правительство Российской Федерации вправе установить особенности включения в планы-графики информации о централизованных закупках, совместных конкурсах и аукционах, а также о отдельных закупках, предусмотренных статьей 23 настоящего Федерального закона. План-график формируется на срок, соответствующий сроку действия федерального закона о федеральном бюджете на очередной финансовый год и плановый период."
Статья 18. Обоснование закупок,"В целях настоящего Федерального закона обоснованной признается закупка, осуществляемая в соответствии с положениями статей 19 и 22 настоящего закона. Оценка обоснованности осуществления закупок проводится в ходе аудита в сфере закупок и контроля. Эксперты считают, что в случае признания закупки необоснованной органы контроля привлекают к административной ответственности лиц, виновных в нарушениях законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе."
Статья 19. Нормирование в сфере закупок,"Правительство Российской Федерации устанавливает правила нормирования в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд, в том числе предельной цены и нормативных затрат на обеспечение функций государственных органов, органов управления государственными внебюджетными фондами, муниципальных органов."
Статья 20. Общественное обсуждение закупок,"Общественное обсуждение закупок проводится в целях публичного обсуждения соответствия планируемой закупки требованиям законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок. Закупки, подлежащие общественному обсуждению, могут быть осуществлены без проведения общественного обсуждения."
"Статья 22. Начальная (максимальная) цена контракта, цена контракта, заключаемого с единственным поставщиком (подрядчиком, исполнителем), начальная сумма цен единиц товара, работы, услуги","Цена контракта, заключаемого с единственным поставщиком (подрядчиком, исполнителем), определяется и обосновывается заказчиком на основании информации о рыночных ценах идентичных товаров, работ, услуг, планируемых к закупкам, или при их отсутствии однородных товаров. Эксперты считают, что метод сопоставимых рыночных цен (анализа рынка) является приоритетным для определения и обоснования цен."
